"DateTime","Players","Average Players","Flags"
"2021-03-09 00:00:00",3125,,
"2021-03-10 00:00:00",14609,,
"2021-03-11 00:00:00",20203,,
"2021-03-12 00:00:00",21235,,
"2021-03-13 00:00:00",23993,,
"2021-03-14 00:00:00",25911,,
"2021-03-15 00:00:00",22439,,
"2021-03-16 00:00:00",21401,,
"2021-03-17 00:00:00",19928,,
"2021-03-18 00:00:00",19590,,
"2021-03-19 00:00:00",19574,,
"2021-03-20 00:00:00",20355,,
"2021-03-21 00:00:00",20947,,
"2021-03-22 00:00:00",17263,,
"2021-03-23 00:00:00",16383,,
"2021-03-24 00:00:00",15856,,
"2021-03-25 00:00:00",15591,,
"2021-03-26 00:00:00",15607,,
"2021-03-27 00:00:00",15595,,
"2021-03-28 00:00:00",15541,,
"2021-03-29 00:00:00",13035,,
"2021-03-30 00:00:00",12331,,
"2021-03-31 00:00:00",11892,,
"2021-04-01 00:00:00",13518,,
"2021-04-02 00:00:00",13440,,
"2021-04-03 00:00:00",13886,,
"2021-04-04 00:00:00",14237,,
"2021-04-05 00:00:00",11870,,
"2021-04-06 00:00:00",11445,,
"2021-04-07 00:00:00",11248,,
"2021-04-08 00:00:00",12221,,
"2021-04-09 00:00:00",23188,,
"2021-04-10 00:00:00",34437,,
"2021-04-11 00:00:00",40399,,
"2021-04-12 00:00:00",37553,,
"2021-04-13 00:00:00",36366,,
"2021-04-14 00:00:00",31679,,
"2021-04-15 00:00:00",29744,,
"2021-04-16 00:00:00",28291,,
"2021-04-17 00:00:00",27801,,
"2021-04-18 00:00:00",24841,,
"2021-04-19 00:00:00",20527,,
"2021-04-20 00:00:00",18650,,
"2021-04-21 00:00:00",18415,,
"2021-04-22 00:00:00",20496,,
"2021-04-23 00:00:00",21167,,
"2021-04-24 00:00:00",19896,,
"2021-04-25 00:00:00",19245,,
"2021-04-26 00:00:00",14982,,
"2021-04-27 00:00:00",14303,,
"2021-04-28 00:00:00",13611,,
"2021-04-29 00:00:00",17682,,
"2021-04-30 00:00:00",17586,,
"2021-05-01 00:00:00",16782,,
"2021-05-02 00:00:00",15702,,
"2021-05-03 00:00:00",14510,,
"2021-05-04 00:00:00",13866,,
"2021-05-05 00:00:00",13582,,
"2021-05-06 00:00:00",17082,,
"2021-05-07 00:00:00",15863,,
"2021-05-08 00:00:00",16175,,
"2021-05-09 00:00:00",14188,,
"2021-05-10 00:00:00",13092,,
"2021-05-11 00:00:00",12417,,
"2021-05-12 00:00:00",12693,,
"2021-05-13 00:00:00",14927,,
"2021-05-14 00:00:00",14386,,
"2021-05-15 00:00:00",14149,,
"2021-05-16 00:00:00",13304,,
"2021-05-17 00:00:00",10997,,
"2021-05-18 00:00:00",10581,,
"2021-05-19 00:00:00",10590,,
"2021-05-20 00:00:00",12633,,
"2021-05-21 00:00:00",11748,,
"2021-05-22 00:00:00",12204,,
"2021-05-23 00:00:00",11167,,
"2021-05-24 00:00:00",10008,,
"2021-05-25 00:00:00",9424,,
"2021-05-26 00:00:00",9352,,
"2021-05-27 00:00:00",12196,,
"2021-05-28 00:00:00",11237,,
"2021-05-29 00:00:00",11756,,
"2021-05-30 00:00:00",11049,,
"2021-05-31 00:00:00",9591,,
"2021-06-01 00:00:00",9083,,
"2021-06-02 00:00:00",9493,,
"2021-06-03 00:00:00",12511,,
"2021-06-04 00:00:00",12004,,
"2021-06-05 00:00:00",11781,,
"2021-06-06 00:00:00",11691,,
"2021-06-07 00:00:00",9852,,
"2021-06-08 00:00:00",9856,,
"2021-06-09 00:00:00",9675,,
"2021-06-10 00:00:00",11848,,
"2021-06-11 00:00:00",10873,,
"2021-06-12 00:00:00",10522,,
"2021-06-13 00:00:00",10765,,
"2021-06-14 00:00:00",9915,,
"2021-06-15 00:00:00",9713,,
"2021-06-16 00:00:00",9528,,
"2021-06-17 00:00:00",11500,,
"2021-06-18 00:00:00",10715,,
"2021-06-19 00:00:00",10253,,
"2021-06-20 00:00:00",10302,,
"2021-06-21 00:00:00",8946,,
"2021-06-22 00:00:00",8513,,
"2021-06-23 00:00:00",8228,,
"2021-06-24 00:00:00",11006,,
"2021-06-25 00:00:00",21479,,
"2021-06-26 00:00:00",31427,,
"2021-06-27 00:00:00",37334,,
"2021-06-28 00:00:00",37110,,
"2021-06-29 00:00:00",37865,,
"2021-06-30 00:00:00",36988,,
"2021-07-01 00:00:00",38308,,
"2021-07-02 00:00:00",38229,,
"2021-07-03 00:00:00",39632,,
"2021-07-04 00:00:00",39389,,
"2021-07-05 00:00:00",36895,,
"2021-07-06 00:00:00",35716,,
"2021-07-07 00:00:00",34989,,
"2021-07-08 00:00:00",37136,,
"2021-07-09 00:00:00",35625,,
"2021-07-10 00:00:00",33576,,
"2021-07-11 00:00:00",31278,,
"2021-07-12 00:00:00",26815,,
"2021-07-13 00:00:00",24979,,
"2021-07-14 00:00:00",24187,,
"2021-07-15 00:00:00",24849,,
"2021-07-16 00:00:00",23007,,
"2021-07-17 00:00:00",22088,,
"2021-07-18 00:00:00",21139,,
"2021-07-19 00:00:00",19026,,
"2021-07-20 00:00:00",16985,,
"2021-07-21 00:00:00",16169,,
"2021-07-22 00:00:00",19132,,
"2021-07-23 00:00:00",18354,,
"2021-07-24 00:00:00",17729,,
"2021-07-25 00:00:00",17603,,
"2021-07-26 00:00:00",15381,,
"2021-07-27 00:00:00",14897,,
"2021-07-28 00:00:00",15027,,
"2021-07-29 00:00:00",16604,,
"2021-07-30 00:00:00",15792,,
"2021-07-31 00:00:00",15443,,
"2021-08-01 00:00:00",15242,,
"2021-08-02 00:00:00",13885,,
